Component Name,Figma Section,Figma Variants,Vue Component,Exists in Vue,Current Status,Priority,Effort Hours,Estimated Impact,Audit Owner,Audit Start Date,Audit Complete Date,Notes
Alert,Alert,7,FTAlert,Yes,Needs audit,High,8,High,,,"Figma has 7 alert variants. Vue component exists but needs review for status/variant alignment (success, error, warning, info)"
Button,Buttons,40,FTButton,Yes,Needs audit,Critical,16,High,,,"Figma has 40 variants with Type, Status, Size, Leading icon parameters. Vue has primary/secondary/tertiary/action props. Comprehensive audit needed"
Checkbox,Selection,53,FTCheckbox,Yes,Needs audit,High,12,High,,,"Selection section includes checkboxes with various states. Vue component exists; verify coverage of all state variants"
Confirm Dialog,Modals,3,FTConfirm,Yes,Needs audit,High,6,High,,,"Figma has 3 modal variants. Vue Confirm component exists; ensure alignment with modal patterns"
Datepicker,Input Fields,38,FTDatepicker,Yes,Needs audit,High,10,High,,,"Input Fields section covers multiple types. Datepicker likely subset. Need to verify date range, time picker support"
Dropdown,Dropdown-base,54,FTSelect,Yes,Needs audit,Critical,20,High,,,"Figma Dropdown-base (54 variants). Vue Select component exists but may need variants for different dropdown types"
Dropdown Specific,Specific Dropdown,17,FTSelect,Yes,Needs audit,High,8,Medium,,,"Specialized dropdown implementations (category, country, language, role, etc.). May need dedicated variants or sub-components"
Floating Label,Input Fields,38,FTFloatingLabel,Yes,Needs audit,High,8,High,,,"Input Fields section includes floating label patterns. Vue component exists; verify all input states covered"
Image Picker,Image Picker,40,,No,Figma only,Medium,16,Medium,,,"40 variants in Figma. No corresponding Vue component. Evaluate need and create if essential for FastTrack"
Input,Input Fields,38,FTInput,Yes,Needs audit,Critical,16,High,,,"38 variants with Type (text, email, number, password, select) and State parameters. Vue has FTInput; verify all input types covered"
Navigation Bar,Nav bars,39,FTNavbar,Yes,Needs audit,High,12,High,,,"39 nav bar variants. Vue Navbar exists; ensure responsive variants and positioning options align"
Modal,Modals,3,FTModal,Yes,Needs audit,High,6,Medium,,,"Only 3 modal variants in Figma. Vue Modal component exists; may need more variants or composition patterns"
Notification,Alert,7,,No,Needs audit,High,6,Medium,,"useNotification","Alert section maps to Notification composable in Vue. FTAlert component likely used; verify composable integration"
Options Selector,Quick access items,76,FTOptionsSelector,Yes,Needs audit,High,12,High,,,"76 quick access item variants. Vue component exists; verify option types and selection patterns"
Pagination,Pagination,6,FTPaging,Yes,Needs audit,Medium,4,Low,,,"6 pagination variants. Vue Paging component exists; verify variant coverage for different page states"
Panel,Panel,13,FTPanel,Yes,Needs audit,Medium,6,Medium,,,"13 panel variants. Vue Panel component exists; verify container and layout options"
Placeholder,Placeholders,6,,No,Figma only,Low,8,Low,,,"6 placeholder/skeleton variants in Figma. No Vue component. Consider if skeleton loaders needed"
Radio,Selection,53,FTRadio,Yes,Needs audit,High,12,High,,,"Selection section includes radio buttons. Vue component exists; verify all state variants covered"
Sliding Panel,Panel,13,FTSlidingPanel,Yes,Needs audit,Medium,6,Medium,,,"Part of Panel section. Verify sliding/drawer behavior implementation"
Split View,Panel,13,FTSplitView,Yes,Needs audit,Medium,6,Medium,,,"Part of Panel section. Verify layout and resizing capabilities"
Spinner,Smaller components,10,FTSpinner,Yes,Needs audit,Medium,4,Medium,,,"10 smaller components include spinner/loader. Vue component exists; verify animation variants"
Table,Table,25,FTTable,Yes,Needs audit,High,14,High,,,"25 table variants with column and state parameters. Vue component exists; verify sortable, paginated, row-action variants"
Tabs,Tabs,32,FTTabs,Yes,Needs audit,High,10,High,,,"32 tab variants. Vue component exists; verify vertical/horizontal, disabled, and badge support"
Tag,Tags and statuses,49,,No,Figma only,Medium,12,Medium,,,"49 tag and status variants. No dedicated Vue component. Consider if separate Tag component needed"
Tooltip,Tooltips + Data Balloons,41,FTTooltip,Yes,Needs audit,High,10,High,,,"41 tooltip and data balloon variants. Vue component exists; verify positioning, triggers, and content types"
Toggle,Toggles for modal,12,,No,Figma only,Medium,8,Medium,,,"12 toggle switch variants for modals. No dedicated Vue component. Verify if needed as standalone or modal-specific"
Card,Cards,17,,No,Figma only,Low,8,Low,,,"17 card component layouts. No Vue component. Could be composition of Panel + other components"
Flag,Flags,261,,No,Figma only,Low,0,Low,,,"261 country flag components. Likely used as assets/icons. Consider image-based or icon-library approach"
Quick Access Item,Quick access items,76,FTOptionsSelector,Yes,Needs audit,High,12,High,,,"76 quick access variants. Maps to FTOptionsSelector; verify all item types and interactions"
